Country Name,Country Code,Indicator Name,2021
Aruba,ABW,GDP per capita (current US$),29342.10086
Africa Eastern and Southern,AFE,GDP per capita (current US$),1549.77273
Afghanistan,AFG,GDP per capita (current US$),368.7546142
Africa Western and Central,AFW,GDP per capita (current US$),1757.030626
Angola,AGO,GDP per capita (current US$),1953.533757
Albania,ALB,GDP per capita (current US$),6492.872012
Andorra,AND,GDP per capita (current US$),42137.32727
Arab World,ARB,GDP per capita (current US$),6271.319001
United Arab Emirates,ARE,GDP per capita (current US$),44315.55418
Argentina,ARG,GDP per capita (current US$),10636.1202
Armenia,ARM,GDP per capita (current US$),4966.513471
American Samoa,ASM,GDP per capita (current US$),15743.31076
Antigua and Barbuda,ATG,GDP per capita (current US$),15781.3957
Australia,AUS,GDP per capita (current US$),60443.10916
Austria,AUT,GDP per capita (current US$),53637.70571
Azerbaijan,AZE,GDP per capita (current US$),5387.997975
Burundi,BDI,GDP per capita (current US$),221.4776762
Belgium,BEL,GDP per capita (current US$),51247.01435
Benin,BEN,GDP per capita (current US$),1319.154995
Burkina Faso,BFA,GDP per capita (current US$),893.0771558
Bangladesh,BGD,GDP per capita (current US$),2457.92488
Bulgaria,BGR,GDP per capita (current US$),12221.49661
Bahrain,BHR,GDP per capita (current US$),26562.96914
"Bahamas, The",BHS,GDP per capita (current US$),27478.38963
Bosnia and Herzegovina,BIH,GDP per capita (current US$),7143.310548
Belarus,BLR,GDP per capita (current US$),7302.257794
Belize,BLZ,GDP per capita (current US$),6228.267309
Bermuda,BMU,GDP per capita (current US$),114090.3283
Bolivia,BOL,GDP per capita (current US$),3345.196589
Brazil,BRA,GDP per capita (current US$),7507.160971
Barbados,BRB,GDP per capita (current US$),17225.4623
Brunei Darussalam,BRN,GDP per capita (current US$),31449.07656
Bhutan,BTN,GDP per capita (current US$),3266.364905
Botswana,BWA,GDP per capita (current US$),6805.221274
Central African Republic,CAF,GDP per capita (current US$),461.1374902
Canada,CAN,GDP per capita (current US$),51987.93905
Central Europe and the Baltics,CEB,GDP per capita (current US$),18751.02651
Switzerland,CHE,GDP per capita (current US$),91991.60046
Channel Islands,CHI,GDP per capita (current US$),
Chile,CHL,GDP per capita (current US$),16265.09598
China,CHN,GDP per capita (current US$),12556.33312
Cote d'Ivoire,CIV,GDP per capita (current US$),2549.041297
Cameroon,CMR,GDP per capita (current US$),1666.932734
"Congo, Dem. Rep.",COD,GDP per capita (current US$),577.2092152
"Congo, Rep.",COG,GDP per capita (current US$),2290.382891
Colombia,COL,GDP per capita (current US$),6104.136709
Comoros,COM,GDP per capita (current US$),1577.471027
Cabo Verde,CPV,GDP per capita (current US$),3293.233054
Costa Rica,CRI,GDP per capita (current US$),12472.44373
Caribbean small states,CSS,GDP per capita (current US$),10063.6913
Cuba,CUB,GDP per capita (current US$),
Curacao,CUW,GDP per capita (current US$),17717.59648
Cayman Islands,CYM,GDP per capita (current US$),86568.76964
Cyprus,CYP,GDP per capita (current US$),31551.81641
Czechia,CZE,GDP per capita (current US$),26821.24523
Germany,DEU,GDP per capita (current US$),51203.55447
Djibouti,DJI,GDP per capita (current US$),3150.436729
Dominica,DMA,GDP per capita (current US$),7653.17187
Denmark,DNK,GDP per capita (current US$),68007.75667
Dominican Republic,DOM,GDP per capita (current US$),8476.752157
Algeria,DZA,GDP per capita (current US$),3690.627878
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),9771.648206
Early-demographic dividend,EAR,GDP per capita (current US$),3703.900123
East Asia & Pacific,EAS,GDP per capita (current US$),13041.78119
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),8758.938553
Europe & Central Asia,ECS,GDP per capita (current US$),27152.47123
Ecuador,ECU,GDP per capita (current US$),5965.132871
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),3698.834981
Euro area,EMU,GDP per capita (current US$),42450.15377
Eritrea,ERI,GDP per capita (current US$),
Spain,ESP,GDP per capita (current US$),30103.51373
Estonia,EST,GDP per capita (current US$),27943.70122
Ethiopia,ETH,GDP per capita (current US$),925.077428
European Union,EUU,GDP per capita (current US$),38411.06278
Fragile and conflict affected situations,FCS,GDP per capita (current US$),1796.396294
Finland,FIN,GDP per capita (current US$),53654.7503
Fiji,FJI,GDP per capita (current US$),4646.612723
France,FRA,GDP per capita (current US$),43658.97898
Faroe Islands,FRO,GDP per capita (current US$),69010.3098
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),3571.336769
Gabon,GAB,GDP per capita (current US$),8635.325694
United Kingdom,GBR,GDP per capita (current US$),46510.28278
Georgia,GEO,GDP per capita (current US$),5023.27438
Ghana,GHA,GDP per capita (current US$),2363.299296
Gibraltar,GIB,GDP per capita (current US$),
Guinea,GIN,GDP per capita (current US$),1189.175999
"Gambia, The",GMB,GDP per capita (current US$),772.1523951
Guinea-Bissau,GNB,GDP per capita (current US$),795.1185693
Equatorial Guinea,GNQ,GDP per capita (current US$),7506.667523
Greece,GRC,GDP per capita (current US$),20192.5963
Grenada,GRD,GDP per capita (current US$),9010.572245
Greenland,GRL,GDP per capita (current US$),
Guatemala,GTM,GDP per capita (current US$),5025.542291
Guam,GUM,GDP per capita (current US$),35904.86355
Guyana,GUY,GDP per capita (current US$),9998.544311
High income,HIC,GDP per capita (current US$),48225.24121
"Hong Kong SAR, China",HKG,GDP per capita (current US$),49800.54241
Honduras,HND,GDP per capita (current US$),2771.717461
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),1035.701648
Croatia,HRV,GDP per capita (current US$),17685.32528
Haiti,HTI,GDP per capita (current US$),1829.593044
Hungary,HUN,GDP per capita (current US$),18728.12189
IBRD only,IBD,GDP per capita (current US$),7235.96127
IDA & IBRD total,IBT,GDP per capita (current US$),5684.927074
IDA total,IDA,GDP per capita (current US$),1465.396074
IDA blend,IDB,GDP per capita (current US$),1842.771049
Indonesia,IDN,GDP per capita (current US$),4332.709281
IDA only,IDX,GDP per capita (current US$),1281.63432
Isle of Man,IMN,GDP per capita (current US$),
India,IND,GDP per capita (current US$),2256.590409
Not classified,INX,GDP per capita (current US$),
Ireland,IRL,GDP per capita (current US$),100172.0793
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4091.209187
Iraq,IRQ,GDP per capita (current US$),4775.377454
Iceland,ISL,GDP per capita (current US$),68727.63666
Israel,ISR,GDP per capita (current US$),52170.71186
Italy,ITA,GDP per capita (current US$),35657.49756
