CountryID,CityID,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
1,1,64,Moderate,0,Good,41,Good,0,Good,64,Moderate,34.5253,69.1783
1,2,62,Moderate,0,Good,39,Good,0,Good,62,Moderate,33.51,64.42
1,3,133,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,133,Unhealthy for Sensitive Groups,30.96,61.86
2,4,91,Moderate,1,Good,47,Good,0,Good,91,Moderate,40.7,19.95
2,5,113,Unhealthy for Sensitive Groups,1,Good,43,Good,0,Good,113,Unhealthy for Sensitive Groups,41.6083,20.0111
2,6,71,Moderate,1,Good,44,Good,1,Good,71,Moderate,41.1111,20.0806
2,7,52,Moderate,1,Good,40,Good,2,Good,52,Moderate,40.725,19.5572
2,8,68,Moderate,1,Good,39,Good,1,Good,68,Moderate,40.8667,20.1833
2,9,67,Moderate,1,Good,42,Good,0,Good,67,Moderate,41.1833,20.3167
2,10,115,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,115,Unhealthy for Sensitive Groups,41.6833,20.4281
2,11,44,Good,1,Good,44,Good,0,Good,39,Good,40.9,20.65
2,12,73,Moderate,1,Good,45,Good,1,Good,73,Moderate,41.3289,19.8178
3,13,106,Unhealthy for Sensitive Groups,0,Good,45,Good,0,Good,106,Unhealthy for Sensitive Groups,27.8742,-0.2939
3,14,154,Unhealthy,10,Good,33,Good,69,Moderate,154,Unhealthy,36.7539,3.0589
3,15,74,Moderate,3,Good,34,Good,16,Good,74,Moderate,36.365,6.6147
3,16,91,Moderate,3,Good,28,Good,18,Good,91,Moderate,36.8,4.2667
4,17,32,Good,1,Good,32,Good,0,Good,24,Good,42.5361,1.5828
5,18,92,Moderate,3,Good,12,Good,2,Good,92,Moderate,-12.55,13.4167
5,19,49,Good,2,Good,49,Good,0,Good,41,Good,-5.56,12.19
5,20,42,Good,2,Good,12,Good,0,Good,42,Good,-13.9208,14.5347
5,21,198,Unhealthy,12,Good,29,Good,8,Good,198,Unhealthy,-8.1833,15.3667
5,22,154,Unhealthy,4,Good,28,Good,3,Good,154,Unhealthy,-12.0256,17.4686
5,23,27,Good,1,Good,23,Good,0,Good,27,Good,-12.1167,17.3
5,24,53,Moderate,1,Good,20,Good,0,Good,53,Moderate,-12.4167,13.5333
5,25,285,Very Unhealthy,23,Good,31,Good,14,Good,285,Very Unhealthy,-8.58,13.6642
5,26,28,Good,1,Good,21,Good,0,Good,28,Good,-12.7767,15.7347
5,27,52,Moderate,1,Good,20,Good,0,Good,52,Moderate,-12.3597,13.5308
5,28,28,Good,0,Good,28,Good,0,Good,16,Good,-12.9067,15.1864
5,29,164,Unhealthy,8,Good,7,Good,11,Good,164,Unhealthy,-8.8383,13.2344
5,30,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,-10.7044,22.2283
5,31,40,Good,1,Good,14,Good,0,Good,40,Good,-14.9167,13.5
5,32,172,Unhealthy,5,Good,33,Good,6,Good,172,Unhealthy,-8.4228,20.7393
5,33,66,Moderate,1,Good,22,Good,0,Good,66,Moderate,-11.7918,19.9062
5,34,68,Moderate,1,Good,21,Good,1,Good,68,Moderate,-9.5333,16.35
5,35,32,Good,0,Good,32,Good,0,Good,8,Good,-14.6556,17.6842
5,36,20,Good,0,Good,20,Good,0,Good,12,Good,-17.0667,15.7333
5,37,103,Unhealthy for Sensitive Groups,2,Good,31,Good,1,Good,103,Unhealthy for Sensitive Groups,-9.65,20.4
5,38,58,Moderate,2,Good,14,Good,1,Good,58,Moderate,-11.2053,13.8417
6,39,34,Good,1,Good,34,Good,1,Good,28,Good,-31.6667,-64.4333
6,40,34,Good,0,Good,17,Good,0,Good,34,Good,-36.7833,-59.85
6,41,20,Good,1,Good,11,Good,0,Good,20,Good,-32.6333,-62.6833
6,42,54,Moderate,1,Good,23,Good,4,Good,54,Moderate,-34.1667,-58.9167
6,43,22,Good,0,Good,22,Good,0,Good,4,Good,-28.4667,-65.7833
6,44,17,Good,0,Good,17,Good,1,Good,17,Good,-34.6333,-60.4667
6,45,16,Good,0,Good,16,Good,1,Good,14,Good,-34.9,-60.0167
6,46,11,Good,0,Good,11,Good,1,Good,4,Good,-45.8647,-67.4808
6,47,19,Good,0,Good,17,Good,0,Good,19,Good,-31.4,-58.0333
6,47,19,Good,0,Good,17,Good,0,Good,19,Good,6.049,-75.909
6,47,19,Good,0,Good,17,Good,0,Good,19,Good,10.2667,-74.8333
6,48,13,Good,1,Good,12,Good,0,Good,13,Good,-27.4833,-58.8167
6,49,32,Good,0,Good,13,Good,0,Good,32,Good,-26.1833,-58.1833
6,49,32,Good,0,Good,13,Good,0,Good,32,Good,-15.5369,-47.3339
6,50,15,Good,0,Good,15,Good,0,Good,14,Good,-35.6667,-63.7333
6,51,12,Good,0,Good,12,Good,1,Good,5,Good,-39.0333,-67.5833
6,52,20,Good,0,Good,20,Good,0,Good,9,Good,-29.1333,-59.25
6,53,15,Good,0,Good,15,Good,1,Good,14,Good,-33.15,-59.3333
6,54,43,Good,1,Good,12,Good,8,Good,43,Good,-34.9211,-57.9544
6,54,43,Good,1,Good,12,Good,8,Good,43,Good,2.39,-75.9075
6,54,43,Good,1,Good,12,Good,8,Good,43,Good,38.5352,-76.97
6,55,11,Good,0,Good,11,Good,0,Good,5,Good,-29.4125,-66.8542
6,56,45,Good,1,Good,16,Good,4,Good,45,Good,-32.8833,-68.8167
6,57,14,Good,1,Good,14,Good,0,Good,3,Good,-33.25,-58.0333
6,57,14,Good,1,Good,14,Good,0,Good,3,Good,-34.65,-59.4333
6,57,14,Good,1,Good,14,Good,0,Good,3,Good,14.1093,123.0109
6,57,14,Good,1,Good,14,Good,0,Good,3,Good,-29.2,-58.0833
6,57,14,Good,1,Good,14,Good,0,Good,3,Good,26.1533,-97.9128
6,58,23,Good,0,Good,23,Good,0,Good,17,Good,-38.55,-58.7333
6,59,33,Good,1,Good,23,Good,1,Good,33,Good,-33.8836,-60.5669
6,60,31,Good,0,Good,13,Good,1,Good,31,Good,-27.3667,-55.9
6,61,11,Good,0,Good,11,Good,0,Good,7,Good,-42.7667,-65.05
6,62,20,Good,0,Good,20,Good,0,Good,5,Good,-38.88,-62.075
6,63,24,Good,0,Good,24,Good,0,Good,9,Good,-31.2667,-61.4833
6,64,22,Good,0,Good,22,Good,0,Good,11,Good,-43.3,-65.1
6,65,18,Good,1,Good,9,Good,2,Good,18,Good,-29.1443,-59.6438
6,66,37,Good,1,Good,3,Good,5,Good,37,Good,-27.4514,-58.9867
6,67,22,Good,0,Good,14,Good,2,Good,22,Good,-31.5303,-68.5947
6,67,22,Good,0,Good,14,Good,2,Good,22,Good,-33.1833,-68.4667
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,-32.9575,-60.6394
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,13.846,121.206
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,14.4167,120.85
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,16.2333,120.4833
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,8.3814,126.0015
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,12.5167,124.4167
6,68,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,-34.3139,-57.3525
6,69,43,Good,1,Good,0,Good,8,Good,43,Good,-24.7833,-65.4167
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,18.3985,-66.061
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,-31.5342,-68.5261
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,14.6,121.03
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,18.81,-71.23
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,13.826,121.396
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,9.9609,-84.0731
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,16.6667,120.3333
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,26.1903,-98.152
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,17.7431,120.4583
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,9.159,123.494
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,10.2667,125.1833
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,10.65,-61.45
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,14.4167,-88.4333
6,70,26,Good,1,Good,8,Good,4,Good,26,Good,17.6834,120.732
6,71,23,Good,0,Good,23,Good,0,Good,23,Good,-37.3167,-59.1333
6,72,18,Good,0,Good,18,Good,0,Good,5,Good,-22.5,-63.8333
6,73,18,Good,0,Good,18,Good,0,Good,2,Good,-43.25,-65.3
6,74,26,Good,0,Good,26,Good,0,Good,12,Good,-38.3667,-60.2667
6,75,13,Good,0,Good,13,Good,0,Good,0,Good,-54.8019,-68.3031
6,76,19,Good,0,Good,19,Good,0,Good,15,Good,-33.75,-61.9667
6,77,23,Good,0,Good,16,Good,0,Good,23,Good,-40.8,-63.0
6,78,60,Moderate,1,Good,7,Good,11,Good,60,Moderate,-31.4,-64.5167
6,79,90,Moderate,2,Good,5,Good,3,Good,90,Moderate,5.0083,-74.4738
6,79,90,Moderate,2,Good,5,Good,3,Good,90,Moderate,-25.51,-57.56
6,80,12,Good,0,Good,11,Good,0,Good,12,Good,-22.0153,-63.6772
7,81,56,Moderate,1,Good,40,Good,0,Good,56,Moderate,40.2739,44.6256
7,82,53,Moderate,1,Good,31,Good,0,Good,53,Moderate,41.1333,44.65
7,83,56,Moderate,1,Good,38,Good,0,Good,56,Moderate,39.9539,44.5506
7,84,39,Good,1,Good,29,Good,1,Good,39,Good,40.2975,44.3617
7,85,32,Good,1,Good,27,Good,0,Good,32,Good,40.7408,44.8631
7,86,33,Good,1,Good,33,Good,0,Good,26,Good,39.5078,46.3386
7,87,75,Moderate,1,Good,39,Good,0,Good,75,Moderate,40.7894,43.8475
7,88,31,Good,0,Good,31,Good,0,Good,30,Good,40.5,44.7667
7,89,36,Good,1,Good,36,Good,0,Good,36,Good,40.8792,45.1472
7,90,92,Moderate,1,Good,37,Good,0,Good,92,Moderate,39.2011,46.415
7,91,43,Good,0,Good,33,Good,0,Good,43,Good,40.14,45.3064
7,92,100,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,100,Unhealthy for Sensitive Groups,40.0633,44.4408
7,93,32,Good,1,Good,32,Good,0,Good,23,Good,40.555,44.9536
7,94,45,Good,1,Good,37,Good,0,Good,45,Good,39.5208,46.0322
7,95,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,40.8372,44.2675
7,96,30,Good,1,Good,27,Good,0,Good,30,Good,40.8128,44.4883
7,97,30,Good,0,Good,30,Good,0,Good,24,Good,40.1806,45.72
7,98,61,Moderate,1,Good,26,Good,1,Good,61,Moderate,39.9106,44.7278
7,99,89,Moderate,1,Good,40,Good,0,Good,89,Moderate,40.3217,44.4814
7,100,52,Moderate,1,Good,37,Good,0,Good,52,Moderate,40.1814,44.5144
8,101,163,Unhealthy,0,Good,23,Good,0,Good,163,Unhealthy,12.5186,-70.0358
8,101,163,Unhealthy,0,Good,23,Good,0,Good,163,Unhealthy,17.4833,-62.9833
9,102,44,Good,0,Good,24,Good,1,Good,44,Good,-34.9275,138.6
9,103,24,Good,0,Good,11,Good,3,Good,24,Good,-36.0806,146.9158
9,104,52,Moderate,0,Good,18,Good,0,Good,52,Moderate,-23.7,133.8667
9,105,26,Good,0,Good,26,Good,0,Good,3,Good,-30.5,151.65
9,106,26,Good,0,Good,26,Good,0,Good,8,Good,-37.8333,147.6167
9,107,22,Good,0,Good,13,Good,6,Good,22,Good,-37.5608,143.8475
9,108,34,Good,0,Good,34,Good,1,Good,15,Good,-28.8333,153.5333
9,109,29,Good,0,Good,29,Good,0,Good,19,Good,-35.7081,150.1744
9,110,23,Good,0,Good,23,Good,0,Good,23,Good,-36.75,144.2667
9,111,32,Good,0,Good,24,Good,7,Good,32,Good,-27.0813,153.1636
9,112,22,Good,0,Good,22,Good,0,Good,3,Good,-20.0102,148.2416
9,113,31,Good,0,Good,30,Good,6,Good,31,Good,-27.4678,153.0281
9,114,126,Unhealthy for Sensitive Groups,0,Good,15,Good,0,Good,126,Unhealthy for Sensitive Groups,-31.95,141.4667
9,115,32,Good,0,Good,32,Good,0,Good,10,Good,-24.8661,152.3494
9,116,26,Good,0,Good,26,Good,1,Good,12,Good,-41.0636,145.8753
9,117,32,Good,0,Good,32,Good,0,Good,8,Good,-33.6478,115.3458
9,118,24,Good,0,Good,21,Good,8,Good,24,Good,-27.0667,152.967
9,119,28,Good,0,Good,28,Good,0,Good,24,Good,-16.92,145.78
9,120,28,Good,0,Good,28,Good,2,Good,17,Good,-26.7986,153.1289
9,121,24,Good,0,Good,24,Good,1,Good,11,Good,-35.2931,149.1269
9,122,21,Good,0,Good,21,Good,8,Good,18,Good,-32.8342,151.3555
9,123,27,Good,0,Good,27,Good,0,Good,17,Good,-30.3022,153.1189
9,124,50,Good,1,Good,7,Good,17,Good,50,Good,-38.0996,145.2834
9,125,102,Unhealthy for Sensitive Groups,2,Good,58,Moderate,1,Good,102,Unhealthy for Sensitive Groups,-12.4381,130.8411
